"","","2.5%","50%","97.5%"
"N[1]",7.08598850247585,7.04928345829541,7.08566796489361,7.12192129386714
"N[2]",7.65023150623143,7.58869223276997,7.64913705055702,7.70931564806889
"N[3]",7.6520876657249,7.59034194677886,7.65118417774823,7.71072983502068
"N[4]",8.30438096892214,8.27540732731397,8.30419919497086,8.33246870727193
"N[5]",8.32365198686919,8.29545264500151,8.32343111139971,8.35101966679767
"N[6]",8.23123031581953,8.20031740256414,8.23099301575653,8.26144100294736
"N[7]",8.24680671861727,8.21666745139838,8.24657077913574,8.27646982923601
"N[8]",8.19133317239312,8.15846493279883,8.19108752097047,8.22285899964731
"N[9]",8.15712074809401,8.12351909952404,8.15692458105876,8.19013696059094
"N[10]",8.13473378181993,8.099608573497,8.13461790403188,8.1682916931383
"N[11]",8.10355278402949,8.06806492677889,8.1034024374779,8.13830582689329
"N[12]",8.27786748113297,8.24835635795302,8.2778376528552,8.30608853698941
"N[13]",8.24676596363643,8.21599342198077,8.24658942214231,8.2762082510399
"N[14]",6.95079235914589,6.89456469798842,6.95018079061122,7.00277505243799
"N[15]",6.86771487767685,6.81954195342806,6.86716614916266,6.91400325023835
"N[16]",6.45864653205727,6.42482164731948,6.45836982079546,6.49104036661089
"N[17]",5.87669644350028,5.82908134286092,5.87616963314709,5.92203724429132
"N[18]",5.15746918903738,5.11408072283734,5.15724136861308,5.19891597020024
"N[19]",4.86279026834173,4.81488697969633,4.86235101388942,4.90895102020093
"N[20]",4.54570683408603,4.51762697104881,4.54565243030555,4.572728247629
"N[21]",4.21354274370448,4.18090007112201,4.21343640206699,4.24464351647506
"N[22]",3.65032758310966,3.58819496217291,3.64955997678549,3.70745364878384
"N[23]",3.36792801749413,3.2813517448566,3.36653414287364,3.44669366881652
