"","c(rep(1, 23), rep(2, 23))","placa1","placa2","d"
"1",1,136,136,1e-04
"2",1,45,28,1e-05
"3",1,57,36,1e-05
"4",1,228,254,1e-05
"5",1,211,263,1e-05
"6",1,212,180,1e-05
"7",1,175,211,1e-05
"8",1,168,192,1e-05
"9",1,150,151,1e-05
"10",1,150,145,1e-05
"11",1,175,150,1e-05
"12",1,202,236,1e-05
"13",1,290,225,1e-05
"14",1,65,68,1e-04
"15",1,52,51,1e-04
"16",1,76,64,1e-04
"17",1,82,45,0.001
"18",1,67,36,0.01
"19",1,75,56,0.01
"20",1,396,468,0.1
"21",1,282,316,0.1
"22",1,103,73,0.1
"23",1,54,41,0.1
"24",2,136,136,1e-04
"25",2,70,53,1e-05
"26",2,42,62,1e-05
"27",2,210,210,1e-05
"28",2,243,226,1e-05
"29",2,131,238,1e-05
"30",2,212,191,1e-05
"31",2,156,178,1e-05
"32",2,175,165,1e-05
"33",2,127,187,1e-05
"34",2,148,93,1e-05
"35",2,216,194,1e-05
"36",2,125,149,1e-05
"37",2,52,51,1e-05
"38",2,109,115,1e-04
"39",2,280,222,0.001
"40",2,106,101,0.001
"41",2,154,126,0.001
"42",2,103,89,0.01
"43",2,39,41,0.01
"44",2,57,76,0.1
"45",2,4,16,0.1
"46",2,4,1,0.1
